City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Ixtapa,MX,77.23,broken clouds,20.7,-105.2,hotel la terminal
405,Rockland,US,77.85,overcast clouds,41.1668,-74.0496,National Camp Association
407,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
408,Riverton,US,81.64,scattered clouds,40.5219,-111.9391,Ramada by Wyndham Draper
416,Novo Aripuana,BR,79.56,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
418,Bilma,NE,85.46,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
423,Alexandria,EG,76.77,clear sky,31.2156,29.9553,Royal Crown Hotel
425,Saint-Georges,GD,79.86,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
428,Warah,PK,87.46,overcast clouds,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
434,Santa Rosa,PH,86.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
446,Bandarbeyla,SO,78.96,overcast clouds,9.4942,50.8122,JABIR HOTEL
448,Kupang,ID,82.2,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
452,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
453,Myurego,RU,85.6,clear sky,42.4109,47.693,
454,Balabac,PH,82.96,moderate rain,7.9868,117.0645,Batalla’s Lodging House
455,Zhezkazgan,KZ,78.78,smoke,47.8043,67.7144,Hotel Zumrat
456,Marzuq,YE,77.85,broken clouds,14.4,46.4667,
460,Khorinsk,RU,79.25,clear sky,52.1657,109.7726,Uda
461,Lazaro Cardenas,MX,79.14,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
464,Virginia Beach,US,82.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
465,Lorengau,PG,83.93,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
466,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
467,Pontianak,ID,85.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
470,Sagua La Grande,CU,76.19,overcast clouds,22.8067,-80.0756,Hotel Telégrafo
476,Arys,KZ,89.87,clear sky,42.4252,68.795,Gostinitsa
477,Phulabani,IN,79.57,broken clouds,20.4667,84.2333,Hotel Royal Plaza
482,Tecoanapa,MX,80.76,overcast clouds,16.5167,-98.75,Hotel Manglares
484,Lodhikheda,IN,80.78,overcast clouds,21.5833,78.8333,Ratneshi Sonkusre
485,Aksu,CN,83.05,clear sky,41.1231,80.2644,Pudong Holiday Hotel
486,Fuling,CN,80.91,overcast clouds,29.7022,107.3919,Yingbin Hostel
487,Pemangkat,ID,84.78,overcast clouds,1.1667,108.9667,Ramah Kost KITA
489,Merauke,ID,79.68,broken clouds,-8.4667,140.3333,
493,Coahuayana,MX,77.56,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
